input	output	match_kind	rule_code	source	review_status
त्यस्	त्यस	exact	3(ङ)-अजन्त-8	Notices-3(ङ)-अजन्त-8	reviewed
जस्	जस	exact	3(ङ)-अजन्त-8	Notices-3(ङ)-अजन्त-8	reviewed
कस्	कस	exact	3(ङ)-अजन्त-8	Notices-3(ङ)-अजन्त-8	reviewed
उस्	उस	exact	3(ङ)-अजन्त-8	Notices-3(ङ)-अजन्त-8	reviewed
जुन्	जुन	exact	3(ङ)-अजन्त-8	Notices-3(ङ)-अजन्त-8	reviewed
कठोर्	कठोर	exact	3(ङ)-अजन्त-8	Notices-3(ङ)-अजन्त-8	reviewed
गरिब्	गरिब	exact	3(ङ)-अजन्त-8	Notices-3(ङ)-अजन्त-8	reviewed
बिस्	बिस	exact	3(ङ)-अजन्त-8	Notices-3(ङ)-अजन्त-8	reviewed
तिस्	तिस	exact	3(ङ)-अजन्त-8	Notices-3(ङ)-अजन्त-8	reviewed
जवान्	जवान	exact	3(ङ)-अजन्त-8	Notices-3(ङ)-अजन्त-8	reviewed
कोट्	कोट	exact	3(ङ)-PS-Saisanik-3(ग)-आगन्तुक	PS-Saisanik-3(ग)	reviewed
टेलिफोन्	टेलिफोन	exact	3(ङ)-PS-Saisanik-3(ग)-आगन्तुक	PS-Saisanik-3(ग)	reviewed
कम्प्युटर्	कम्प्युटर	exact	3(ङ)-PS-Saisanik-3(ग)-आगन्तुक	PS-Saisanik-3(ग)	reviewed
रिजल्ट्	रिजल्ट	exact	3(ङ)-PS-Saisanik-3(ग)-आगन्तुक	PS-Saisanik-3(ग)	reviewed
सिमेन्ट्	सिमेन्ट	exact	3(ङ)-PS-Saisanik-3(ग)-आगन्तुक	PS-Saisanik-3(ग)	reviewed
बल्ब्	बल्ब	exact	3(ङ)-PS-Saisanik-3(ग)-आगन्तुक	PS-Saisanik-3(ग)	reviewed
फिल्ड्	फिल्ड	exact	3(ङ)-PS-Saisanik-3(ग)-आगन्तुक	PS-Saisanik-3(ग)	reviewed
